Issued by Organization,Issued for Organization,Title,Tender No,Procurement Method,Issued Date,Amendments,Closing Date,Successful Vendor,Successful Vendor City,Province,Country,Award Total,Date Awarded
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",Training/Data Collection - Stand Level Biodiversity Evaluations,1070-30/OT20FHQ330,RQU,2020/03/12,1,2020/03/18,Madrone Enviroenmnetal Services Ltd.,Duncan,British Columbia,Canada,$0.00,2020/05/27
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",GS21MRB301 Panorama Wildfire Risk Reduction Prescriptions,GS21MRB301,ITT,2020/04/30,2,2020/05/06,Pioneer Forest Consulting Ltd.,Golden,British Columbia,Canada,"$5,220.00",2020/05/27
Ministry of Environment and Climate Change Strategy,Ministry of Environment and Climate Change Strategy,Mabel Lake Provincial Park - Campground Expansion,2929826 - CIVIL,ITT,2020/04/27,0,2020/05/12,Bear Paw Earthworks Ltd,Coldstream,British Columbia,Canada,"$385,151.85",2020/05/27
Ministry of Environment and Climate Change Strategy,Ministry of Environment and Climate Change Strategy,Akamina-Kishinena Provincial Park Fire Recovery Project Ð Ph. 1,ENV21-BCPKO-09,ITT,2020/05/15,2,2020/05/22,Robson Design Build Ltd.,Valemount,British Columbia,Canada,"$114,700.00",2020/05/27
Ministry of Transportation and Infrastructure - Construction,Ministry of Transportation and Infrastructure - Construction,Bridge Deck Resurfacing,24148MJ0000,MOTITT,2020/04/20,0,2020/05/22,Seismic 2000 Construction Ltd.,Langley,British Columbia,Canada,"$1,009,963.70",2020/05/27
Ministry of Transportation and Infrastructure - Construction,Ministry of Transportation and Infrastructure - Construction,Bridge Deck Resurfacing,24148MJ0000,MOTITT,2020/04/20,0,2020/05/22,Seismic 2000 Construction Ltd.,Langley,British Columbia,Canada,"$1,009,963.70",2020/05/27
Ministry of Transportation and Infrastructure - Construction,Ministry of Transportation and Infrastructure - Construction,"Highway 3, Jaffray Westbound Passing Lane",24374MJ0000,MOTITT,2020/05/20,2,2020/05/22,Bad Ventures Ltd.,Cranbrook,British Columbia,Canada,"$4,294,034.00",2020/05/27
Ministry of Transportation and Infrastructure - Construction,Ministry of Transportation and Infrastructure - Construction,Installation of new wildlife exclusion fencing.,25142MJ0000,MOTITT,2020/05/05,1,2020/05/13,Progressive Fence Installations Ltd.,Langley,British Columbia,Canada,"$821,980.00",2020/05/27
Procurement Services Branch,Ministry of Citizens' Services,IBM InfoSphere MDM Support Renewal,ITQ-006200,Itq,2020/04/16,0,2020/04/24,CDW CANADA CORP.,Toronto,Ontario,Canada,"$615,971.67",2020/05/28
Procurement Services Branch,Ministry of Citizens' Services,IBM Cognos Support Renewal,ITQ-006201,Itq,2020/04/17,0,2020/04/27,CDW CANADA CORP.,Toronto,Ontario,Canada,"$1,959,506.56",2020/05/28
Procurement Services Branch,Ministry of Citizens' Services,IBM Annual Software Subscription & Support Renewal (Victoria),ITQ-006215,Itq,2020/05/06,0,2020/05/15,CDW CANADA CORP.,Toronto,Ontario,Canada,"$20,707.52",2020/05/28
Procurement Services Branch,Ministry of Citizens' Services,Adobe Experience Manager Forms 6.5,ITQ-006218,Itq,2020/05/12,0,2020/05/20,CDW CANADA CORP.,Toronto,Ontario,Canada,"$239,366.02",2020/05/28
Ministry of Environment and Climate Change Strategy,Ministry of Environment and Climate Change Strategy,Myra-Bellevue Provincial Park - 2020 Trestle Structural Repairs,2929304 - STRUCTURAL,ITT,2020/04/27,0,2020/05/19,Momentum Mountain Solutions,Kimberley,British Columbia,Canada,"$81,000.00",2020/05/29
Ministry of Environment and Climate Change Strategy,Ministry of Environment and Climate Change Strategy,Support for Compliance and Enforcement Solutions,ON-003411,RFP,2020/01/08,2,2020/01/10,CGI Information Systems and Management Consultants Inc.,Victoria,British Columbia,Canada,"$800,000.00",2020/05/29
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",Roadside Brushing of Forest Service Roads,EN21LMN106,ITT,2020/04/28,0,2020/05/29,Blackie Holdings Inc.,Courtenay,British Columbia,Canada,"$40,449.50",2020/05/29
Procurement Services Branch,"Ministry of Forests, Lands, Natural Resource Operations and R.D.",Tractor - Bailey Road Seed Orchard Vernon,ITQ-006208,Itq,2020/04/29,0,2020/05/07,PrairieCoast Equipment Ltd.,Kelowna,British Columbia,Canada,"$62,720.00",2020/05/29
Ministry of Transportation and Infrastructure - Construction,Ministry of Transportation and Infrastructure - Construction,Concrete rehabilitation work on Bullmoose Creek Lower Bridge,37209MJ0001,MOTITT,2020/04/29,2,2020/05/07,Luxton Construction Inc.,Vancouver,British Columbia,Canada,"$1,644,000.00",2020/05/29
Ministry of Children and Family Development,Ministry of Children and Family Development,North Peace Child and Youth Care Worker Program,nr100SRFP,SRFP,2020/02/13,1,2020/02/26,North Peace Community Resources Society,Fort St John,British Columbia,Canada,"$102,500.00",2020/06/01
Procurement Services Branch,Ministry of Environment and Climate Change Strategy,Oil-Free Scroll Compressor (Victoria),ITQ-006209,Itq,2020/05/14,1,2020/05/19,SFL Service First Ltd,Sidney,British Columbia,Canada,"$10,334.65",2020/06/01
Procurement Services Branch,Ministry of Environment and Climate Change Strategy,Standard Shipping Container (Nelson),ITQ-006220,Itq,2020/05/12,0,2020/05/21,Secure-Rite Mobile Storage Inc.,Kelowna,British Columbia,Canada,"$5,370.40",2020/06/01
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",Soo & Sunshine Coast TSA CMI-YSM Ground Sampling,1070-30/OT21FHQ038,ITT,2020/05/21,1,2020/05/22,McColl Forestry Ltd,Clinton,British Columbia,Canada,"$183,199.87",2020/06/01
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",Dust Control-Various Forest Service Roads-Powell River/Sechelt,EN21LMN101,ITT,2020/05/13,0,2020/05/27,Capilano Highway Services Company,West Vancouver,British Columbia,Canada,"$77,268.00",2020/06/01
Ministry of Municipal Affairs and Housing,Ministry of Municipal Affairs and Housing,BC Building Code Technical Support & Data Entry Services,SRFP21-MAH-01,SRFP,2020/05/07,2,2020/05/07,"Oberon Technologies, Inc.",Ann Arbor,Michigan,USA,"$30,000.00",2020/06/01
Ministry of Municipal Affairs and Housing,Ministry of Municipal Affairs and Housing,General Code Consulting Services,RFP20-UEL-007,RFP,2020/04/06,4,2020/04/22,Innes Hood Consulting Inc.,North Vancouver,British Columbia,Canada,"$60,000.00",2020/06/01
Ministry of Transportation and Infrastructure - Construction,Ministry of Transportation and Infrastructure - Construction,Construction to replace existing culvert with new 2400mm Culvert,24667MJ0001,MOTITT,2020/05/05,3,2020/05/14,Solano Resources Inc.,Peachland,British Columbia,Canada,"$463,295.00",2020/06/01
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",Rock Bay FSR Bridge Installs and Road Improvements,EN21NAN503,ITT,2020/05/01,2,2020/05/19,Gold Chain Contractors Ltd.,Campbell River,British Columbia,Canada,"$62,960.00",2020/06/02
Procurement Services Branch,Ministry of Environment and Climate Change Strategy,Oil-Free Scroll Compressor (Victoria),ITQ-006209,Itq,2020/05/14,1,2020/05/19,Chamco Industries Limited,Langley,British Columbia,Canada,"$14,216.16",2020/06/03
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",Bridge and Culvert Installation on the Finlay FSR,11250-85/EN21PGN323,ITT,2020/04/30,2,2020/05/11,Platinum Stone Contracting Ltd.,Mission,British Columbia,Canada,$0.00,2020/06/03
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",Road Construction - 7km Bugaboo FSR Rocky Mtn Resource Dist,EN21474-011,ITT,2020/05/26,2,2020/06/02,Fiorentino Brothers Contracting Ltd.,Cranbrook,British Columbia,Canada,"$226,938.00",2020/06/03
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",Bridge Install N1-201A & N1-127A Bridge Deck Repair,EN21474-012,ITT,2020/05/11,0,2020/06/02,Sorenson Excavating Ltd,Castlegar,British Columbia,Canada,"$82,707.00",2020/06/03
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",GS21MRB303 - Blackcomb Wildfire Risk Reduction Prescriptions,GS21MRB303,ITT,2020/05/21,1,2020/05/28,Cabin Forestry Services Ltd,Vernon,British Columbia,Canada,"$22,985.60",2020/06/03
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",LIDAR CMI Sampling Ð Beaverdell,1070-30/OT21FHQ028,ITT,2020/05/06,2,2020/05/06,Hatch Woodlands Ltd.,Shawnigan Lake,British Columbia,Canada,"$40,896.00",2020/06/04
