Issued by Organization,Issued for Organization,Title,Tender No,Procurement Method,Issued Date,Amendments,Closing Date,Successful Vendor,Successful Vendor Address,Award Total,Date Awarded
Ministry of Transportation and Infrastructure,,OnRouteBC Financial Risk & Controls Review,RFP-CVSE230310,Request for Proposal,entered 2023-06-30,0,    ,MNP LLP,"888 Fort Street, Suite 300, Victoria BC  V8W 1H8","$44,500.00",2023-04-24
Ministry of Transportation and Infrastructure,,Decision-Making Framework and Assessment Tools,RFP-DMF-221223,Request for Proposal,entered 2023-06-30,0,    ,Steer Davies Gleave North America Incorporated,"40 University Avenue, Suite 606, Toronto ON m5J 1T1","$800,000.00",2023-04-06
Ministry of Transportation and Infrastructure,,Land Use Planning Services,9976,Request for Proposal,2022-12-05,1,2023-01-20,VIA- A Perkins Eastman Studio,"270 - 601 West Cordova Street, Vancouver BC","$2,000,000.00",2023-04-06
Procurement Services Branch ,Ministry of Transportation and Infrastructure,Req 151 ScanPro 2500 All in One USB 3.1 model,5093137,Invitation to Quote,2023-06-21,0,2023-06-21,Micro Com Systems,"8527 Eastlake Dr, Burnaby, British Columbia","$13,515.00",2023-06-21
Procurement Services Branch ,Ministry of Transportation and Infrastructure,Req 168 - Supply and delivery of five types of interlocking concrete block,5101209,Invitation to Quote,2023-05-26,0,2023-06-05,Lock-Block Ltd.,,"$399,018.00",2023-06-07
Procurement Services Branch ,Ministry of Transportation and Infrastructure,Req 171 - Supply and delivery of five types of WGB aggregates and ripraps,5101218,Invitation to Quote,2023-05-26,0,2023-06-05,Lafarge Canada Inc.,"2300 Rogers Ave, Coquitlam, British Columbia","$634,086.00",2023-06-08
Procurement Services Branch ,Ministry of Transportation and Infrastructure,CVO Self Test Transponder Product Number: 802155-447,5096274,Invitation to Quote,2023-04-10,0,2023-04-10,Kapsch TrafficCom Canada Inc.,"6020 Ambler Dr, Mississauga, Ontario","$72,000.00",2023-04-10
Procurement Services Branch ,Ministry of Transportation and Infrastructure,Req 5094836 - Supply and delivery of five pre-cast concrete box culverts,5094836,Invitation to Quote,2023-03-09,0,2023-03-20,Leko Precast Ltd,"9538-HWY 97 NORTH, VERNON, British Columbia","$352,802.00",2023-04-13
"Ministry of Water, Land and Resource Stewardship",,ATLIN TAKU LAND USE PLAN IMPLEMENTATION – STRATEGIC ADVISOR,169726,Request for Proposal,2023-05-24,1,2023-06-21,HRM Hilltop Resource Management,", Smithers, British Columbia","$98,525.00",2023-06-28
"Ministry of Water, Land and Resource Stewardship",,What We Heard Summary Engagement Reports for the Watershed Security Strategy and the Coastal Marine Strategy,161917,Request for Proposal,2023-03-20,0,2023-04-19,Monique Keiran,,"$62,300.00",2023-05-05
Procurement Services Branch ,"Ministry of Water, Land and Resource Stewardship","Req 56303 - FERTILIZER FOR ALOUETTE RESERVOIR, 18.72 MT 10-34-0 and 75.84 MT of 28-0-0",5096543,Invitation to Quote,2023-04-17,1,2023-04-27,Terralink Horticulture Inc.,"464 Riverside Rd, Abbotsford, British Columbia","$80,144.52",2023-04-27
Procurement Services Branch ,"Ministry of Water, Land and Resource Stewardship",PinPoint Argos 120,5104138,Invitation to Quote,2023-06-12,0,2023-06-12,Lotek Wireless Inc,"115 Pony drive, Newmarket, Ontario","$20,440.00",2023-06-20
