Issued by Organization,Issued for Organization,Title,Tender No,Procurement Method,Issued Date,Amendments,Closing Date,Successful Vendor,Successful Vendor Address,Award Total,Date Awarded
Ministry of Transportation and Infrastructure,,Owners Engineer,RSPR0620,Request for Proposal,2023-01-24,,,R.F. Binnie & Associates Ltd.,"300 - 3940 Canada Way, Burnaby BC V5G 4K6","$999,999.00",2023-01-03
Ministry of Transportation and Infrastructure,,Owners Engineer,RSPR0620,Request for Proposal,2023-01-24,,,SNC-LAVALIN INC.,"745 Thurlow Street, Vancouver BC  V6E 0C5","$999,999.00",2023-01-03
Ministry of Transportation and Infrastructure,,Owners Engineer,RSPR0620,Request for Proposal,2023-01-24,,,Stantec Consulting Ltd.,"1100 - 111 Dunsmuir Street, Vancouver BC  V6B 6A3","$999,999.00",2023-01-10
Ministry of Transportation and Infrastructure,,"RFP NR2022-ENG-02 “As and When” Geotechnical Drilling for Highway Improvement, Rehabilitation, and Landslide Stabilization Projects",6347,Request for Proposal,2023-02-07,2,2022-10-03,Drillwell Enterprises,,"$3,000,000.00",2023-01-11
Ministry of Transportation and Infrastructure,,E-Bike Incentive Program,065OA127210,Request for Proposal,2023-03-28,2,2023-03-16,SCRAP-IT,"PO Box 9850, STN PROV GOVT","$6,500,000.00",2023-03-27
Ministry of Transportation and Infrastructure,,Engineering Software Support,6390 ,Request for Proposal,2023-03-31,0,2022-09-16,Gregory Peter Toews,"837 Selkirk Avenue, Victoria BC V9A 2T7","$405,000.00",2023-03-24
Ministry of Transportation and Infrastructure,,Highway 8 - Spences Bridge Slip Site 23 - Phase 2,25769MJ0001,Invitation to Tender,2023-03-08,,,Cook's Ferry Alliance Team Limited Partnership, ,"$585,497.00",2023-02-24
Ministry of Transportation and Infrastructure,,Asphalt Road Resurfacing Highways: Lower Mainland Maple Ridge Area H7 Pitt River to 222nd Street (29.4 Lane Km),13088MJ2022,Invitation to Tender,2023-03-16,1,2023-02-08,Lafarge Canada Inc.,"2300 Rogers Avenue
Coquitlam, BC V3K 5X6","$3,645,140.00",2023-02-15
Ministry of Transportation and Infrastructure,,STRATEGIC PLANNING GENERAL SERVICES INTEGRATED TRANSPORTATION PLANNING BRANCH,10535,Request for Proposal,2023-03-10,4,2023-01-13,Parsons Inc.,"Suite 2300 Metrotower 1, 4710 Kingsway, Burnaby BC  V5H 4M2","$750,000.00",2023-02-24
Ministry of Transportation and Infrastructure,,George Massey Tunnel Reversible Lane Control System Construction Engineering Services,RFP-SCR-221124,Request for Proposal,2022-11-24,0,2022-12-08,PBX Engineering,"201 – 2612 Bridge Street, Victoria, British Columbia","$2,590,250.00",2023-02-01
Ministry of Transportation and Infrastructure,,"Asphalt Resurfacing Canim-Hendrix Lake Road, Horse Lake Road and Area and Side Roads (114.76 Lane KMs) ",26105MJ0000,Invitation to Tender,2023-03-31,2,2023-03-17,Key-West Asphalt (333) Ltd. ,,"$7,956,350.00",2023-03-24
Procurement Services Branch ,Ministry of Transportation and Infrastructure,Four (4) Road Closure Gates for MoTI Avalanche and Weather Program,160622,Invitation to Quote,2023-03-06,0,2023-03-06,Whistler Welding Services,"1932 Timber Lane , Pemberton, British Columbia","$104,500.00",2023-03-08
Procurement Services Branch ,Ministry of Transportation and Infrastructure,Two (2) Ford F150 Lightning Pro with Pro Trim,5085739,Invitation to Quote,2023-01-18,0,2023-01-18,"Ford Motor Company of Canada, Limited","The Canadian Rd , Oakville, Ontario","$172,280.00",2023-02-14
Procurement Services Branch ,Ministry of Transportation and Infrastructure,Asphalt Content Tester,160575,Invitation to Quote,2023-03-06,0,2023-03-06,"Hoskin Scientific, Ltd","3735 Myrtle St, Burnaby, British Columbia","$20,476.00",2023-03-06
Procurement Services Branch ,Ministry of Transportation and Infrastructure,Ver-Mac Trailer Mounted Speed Sign w/ Traffic Count Capabilities,160907,Invitation to Quote,2023-03-08,0,2023-03-08,ATS Traffic Ltd.,"20351 Duncan Way, unit 200, Langley, British Columbia","$15,322.15",2023-03-21
Procurement Services Branch ,Ministry of Transportation and Infrastructure,"one (1) new, unopened DJI Matrice 30T Worry-Free Plus Combo and accessories",5090829,Invitation to Quote,2023-01-27,0,2023-02-13,Candrone,,"$15,778.55",2023-02-21
Procurement Services Branch ,Ministry of Transportation and Infrastructure,req 112 - Optical Pavement Sensors,5074699,Invitation to Quote,2022-10-28,1,2022-11-10,Vaisala Canada Inc.,,"$64,452.99",2023-01-09
