Issued by Organization,Issued for Organization,Title,Tender No,Procurement Method,Issued Date,Amendments,Closing Date,Successful Vendor,Successful Vendor City,Province,Country,Award Total,Date Awarded
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",Post-Wildfire Silviculture Surveys and Treatment Prescriptions,SU22DRM001,ITT,2021/06/25,0,2021/07/13,Zanzibar Holdings Ltd.,North Vancouver,British Columbia,Canada,"$65,005.00",2021/07/21
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",Restoration Prescriptions in Caribou Habitat,CRP_001,SRFP,2021/07/05,5,2021/07/15,West Moberly - DWB Limited Partnership,Prince George,British Columbia,Canada,"$299,866.00",2021/07/22
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",Bridge Installation–Clusko–Thunder Mountain 65-057 at 44.8km FSR,EN22474014,ITT,2021/06/09,0,2021/06/30,N/A,N/A,N/A,N/A,$0.00,2021/07/22
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",HELICOPTER-BASED DETAILED AERIAL SURVEYS OF MOUNTAIN PINE BEETLE,FH22DSE002,ITT,2021/06/25,0,2021/07/15,Valhalla Helicopters Inc,Kelowna,British Columbia,Canada,"$39,900.00",2021/07/22
Procurement Services Branch,Ministry of Environment and Climate Change Strategy,Confluence (Server) 2000 Users: Maintenance Renewal,ITQ-006733,Itq,2021/07/15,1,2021/07/20,Carahsoft Technology Corporation,Reston,Virginia,United States,"$18,307.00",2021/07/22
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",FFT Silviculture Surveys & Treatment Plans - Quesnel District,OP22DQU001,ITT,2021/07/16,3,2021/07/19,N/A,N/A,N/A,N/A,$0.00,2021/07/22
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",LBI Silviculture Surveys – Backlog NSR,SU22DSE002,ITT,2021/07/16,0,2021/07/22,Zanzibar Holdings Ltd,Victoria,British Columbia,Canada,"$75,801.50",2021/07/22
Ministry of Transportation and Infrastructure - Construction,Ministry of Transportation and Infrastructure - Construction,Replacement of Heber River Bridge on Highway 28,16850MJ0001,MOTITT,2021/07/14,1,2021/07/21,Surespan Construction Ltd.,North Vancouver,British Columbia,Canada,"$7,141,049.00",2021/07/23
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",Production and stockpiling of 12000m3 25 mm (HFSA),EN22DTR008,ITT,2021/06/25,0,2021/07/23,Borrow Enterprises Ltd,Clearwater,British Columbia,Canada,"$147,200.00",2021/07/23
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",Heffley Lake Fuel Management Treatments ,FM22DTR002,ITT,2021/06/21,2,2021/07/16,Universal Silviculture Inc.,Salmon Arm,British Columbia,Canada,"$89,905.00",2021/07/23
Procurement Services Branch,"Ministry of Forests, Lands, Natural Resource Operations and R.D.",MEC VectAir Insulated Sleeping Pad (Chilliwack & Prince George),ITQ-006705,Itq,2021/06/09,0,2021/06/21,MEC Mountain Equipment Company Ltd.,Vanderhoof,British Columbia,Canada,$0.00,2021/07/23
Procurement Services Branch,"Ministry of Forests, Lands, Natural Resource Operations and R.D.",Aluminum Tree Tags (Victoria BC),ITQ-006710,Itq,2021/06/17,1,2021/06/21,Elite Textile Trading LLC,Irvine,California,United States,"$79,440.48",2021/07/26
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",Catering Services at the Cowichan Lake Research Station ,SRFP22JHQ010,RFP,2021/07/05,0,2021/07/22,Brooks and Heslop Catering,Mesachie Lake,British Columbia,Canada,"$110,000.00",2021/07/26
Ministry of Public Safety & Solicitor General & Emergency B.C.,Ministry of Public Safety & Solicitor General & Emergency B.C.,Indigenous Elder,ACCWELD2021,SRFP,2021/06/11,1,2021/07/02,N/A,N/A,N/A,N/A,$0.00,2021/07/27
Ministry of Public Safety & Solicitor General & Emergency B.C.,Ministry of Public Safety & Solicitor General & Emergency B.C.,Indigenous Cultural Liaison,ACCWICL2021A,SRFP,2021/06/11,1,2021/07/02,N/A,N/A,N/A,N/A,$0.00,2021/07/27
