Issued by Organization,Issued for Organization,Title,Tender No,Procurement Method,Issued Date,Amendments,Closing Date,Successful Vendor,Successful Vendor City,Province,Country,Award Total,Date Awarded
University of British Columbia,University of British Columbia,MacMillan Room 360 Conversion to Classroom,2022010005,RFP,2022/05/05,0,2022/05/26,Carscadden Stokes Mcdonald Architects Inc..,Victoria,,,"$101,599.00",2022/06/14
Ministry of Transportation and Infrastructure - Construction,Ministry of Transportation and Infrastructure - Construction,Cariboo District Thermoplastic and Paint Application,23353MJ2022,MOTITT,2022/05/05,0,2022/06/03,Infinite Road Marking Ltd.,Abbotsford,British Columbia,Canada,"$295,252.25",2022/06/14
Ministry of Transportation and Infrastructure - Construction,Ministry of Transportation and Infrastructure - Construction,Cariboo District Thermoplastic and Paint Application,23353MJ2022,MOTITT,2022/05/05,0,2022/06/03,Infinite Road Marking Ltd.,Abbotsford,British Columbia,Canada,"$295,252.25",2022/06/14
BC Timber Sales - Contracts,BC Timber Sales - Contracts,Manual Brushing,BR23TJE013,ITT,2022/05/16,0,2022/06/02,N/A,,,,$0.00,2022/06/14
Ministry of Forests,Ministry of Forests,Routine Bridge & Major Culvert Inspections- DPG & DPC,EN23PGN302,ITT,2022/05/31,1,2022/06/02,Allnorth Consultants Ltd.,Prince George,British Columbia,Canada,"$60,680.00",2022/06/14
BC Timber Sales - Contracts,BC Timber Sales - Contracts,Mackenzie Road and Bridge Maintenance ,EN23TGF008,ITT,2022/05/03,0,2022/05/26,Nahanni Construction Ltd.,Prince George,British Columbia,Canada,"$146,750.00",2022/06/13
Procurement Services Branch,Ministry of Forests,Design/Fabricate/Supply - Concrete Deck Bridge (Quesnel),ITQ-007074,Itq,2022/05/24,0,2022/06/01,Rapid-Span Structures Limited Partnership,Armstrong,British Columbia,Canada,"$217,392.00",2022/06/13
City of Vancouver,City of Vancouver,CONTRACTOR SERVICES - RE-ROOFING-COLLINGWOOD NEIGHBOURHOOD HOUSE,ITT#PS20220549,ITT,2022/04/22,1,2022/05/12,N/A,,,,$0.00,2022/06/13
Ministry of Forests,Ministry of Forests,BCTS LiDAR - TCH/TKA/TOC,OP23BMRS013,RFP,2022/05/26,3,2022/06/02,Quantum Spatial Canada d/b/a NV5 Geospatial,Vancouver,British Columbia,Canada,"$579,979.00",2022/06/13
Ministry of Forests,Ministry of Forests,BCTS LiDAR - TSK/TPG/TSN,OP23BMRS014,RFP,2022/05/26,3,2022/06/02,Eagle Mapping Limited,Port Coquitlam,British Columbia,Canada,"$303,491.63",2022/06/13
Ministry of Forests,Ministry of Forests,"Fire Recce, Development and Layout ",SU23DMH015,ITT,2022/05/06,2,2022/05/25,Montane Forest Consultants Ltd.,100 Mile House,British Columbia,Canada,"$263,019.01",2022/06/13
Ministry of Forests,Ministry of Forests,Wildfire Risk Reduction Prescriptions,SU23LMN002,ITT,2022/05/10,1,2022/05/31,Frontline Operations Group Ltd.,Vernon,British Columbia,Canada,"$20,752.00",2022/06/13
BC Timber Sales - Contracts,BC Timber Sales - Contracts,Regular Conifer Silviculture Surveys in the Fort St. John TSA,SU23TDF001 YR1,ITT,2022/04/14,0,2022/05/25,Celtic Reforestation Services Ltd.,Prince George,British Columbia,Canada,"$155,670.00",2022/06/13
