Issued by Organization,Issued for Organization,Title,Tender No,Procurement Method,Issued Date,Amendments,Closing Date,Successful Vendor,Successful Vendor City,Award Total,Date Awarded,Province / State,Country
Procurement Services Branch,Ministry of Transportation and Infrastructure,Request for Standing Offer for Highway Signs (various locations),ITQ-005969,Itq,2019/08/30,1,2019/09/10,Sherine Industries Ltd,Surrey,$0.00,2019/09/25,British Columbia,Canada
Procurement Services Branch,Ministry of Attorney General,Cisco SMARTnet Renewal,ITQ-005970,Itq,2019/08/30,1,2019/09/06,Telus Communications Inc.,Victoria,"$33,400.17",2019/10/02,British Columbia,Canada
Procurement Services Branch,Ministry of Citizens' Services,Cisco Network Equipment (Victoria),ITQ-005973,Itq,2019/08/30,0,2019/09/09,Telus Communications Inc.,Victoria,"$162,547.37",2019/09/11,British Columbia,Canada
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",Detailed Aerial Bark Beetle Surveys in the PG Forest District,FH20DPG508,ITT,2019/08/30,1,2019/09/06,Valhalla Helicopters Inc.,West Kelowna,"$21,000.00",2019/09/10,British Columbia,Canada
Ministry of Citizens' Services,Ministry of Citizens' Services,Professional Citizen Engagement Services,ON-003379,RSO,2019/09/03,6,2019/09/04,Drawing Change,Burnaby,$0.00,2019/09/25,British Columbia,Canada
Ministry of Citizens' Services,Ministry of Citizens' Services,Professional Citizen Engagement Services,ON-003379,RSO,2019/09/03,6,2019/09/04,Indigenuity Consulting Group,Duncan,$0.00,2019/09/25,British Columbia,Canada
Ministry of Citizens' Services,Ministry of Citizens' Services,Professional Citizen Engagement Services,ON-003379,RSO,2019/09/03,6,2019/09/04,Pivotal Research Inc.,Edmonton,$0.00,2019/09/25,Alberta,Canada
Ministry of Citizens' Services,Ministry of Citizens' Services,Professional Citizen Engagement Services,ON-003379,RSO,2019/09/03,6,2019/09/04,Susanna Haas Lyons,Fort Langley,$0.00,2019/09/25,British Columbia,Canada
Ministry of Citizens' Services,Ministry of Citizens' Services,Professional Citizen Engagement Services,ON-003379,RSO,2019/09/03,6,2019/09/04,Wave Consulting Ltd,Gabriola Island,$0.00,2019/09/25,British Columbia,Canada
Ministry of Citizens' Services,Ministry of Citizens' Services,Professional Citizen Engagement Services,ON-003379,RSO,2019/09/03,6,2019/09/04,Rockandel & Associates,Garibaldi Highlands,$0.00,2019/09/25,British Columbia,Canada
