Issued by Organization,Issued for Organization,Title,Tender No,Procurement Method,Issued Date,Amendments,Closing Date,Successful Vendor,Successful Vendor City,Award Total,Date Awarded,Province / State,Country
Ministry of Children and Family Development,Ministry of Children and Family Development,Cluster for At Risk Youth in Transition- MCFD South Fraser,SFC-0418,RFP,2019/05/22,2,2019/05/24,W.J. Stelmaschuk and Associates Ltd.,Maple Ridge,"$350,000.00",2019/09/15,British Columbia,Canada
Ministry of Children and Family Development,Ministry of Children and Family Development,Cluster for At Risk Youth in Transition- MCFD South Fraser,SFC-0418,RFP,2019/05/22,2,2019/05/24,W.J. Stelmaschuk and Assoicates Ltd.,Maple Ridge,"$350,000.00",2019/09/15,British Columbia,Canada
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",Gas Works Building Site Maintenance,GS20CLO001,SRFP,2019/05/22,0,2019/06/19,Donnelly Landscapes Ltd.,New Westminster,"$37,800.00",2019/08/19,British Columbia,Canada
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",Routine Bridge & Major Culvert Inspections - Skeena Stikine,EN20PGN305A,ITT,2019/05/22,0,2019/06/05,Profor Resource Development Inc.,Prince George,"$23,704.40",2019/06/06,British Columbia,Canada
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",Southern Interior Permanent Sample Plot (PSP) Remeasurement,1070-30/OT20FHQ085,ITT,2019/05/22,1,2019/06/03,Hatch Woodlands Ltd.,Shawnigan Lake,"$59,132.00",2019/06/10,British Columbia,Canada
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",Realignment of 2 Sites and Blasting on the Cunningham FSR,EN20PGN324,ITT,2019/05/23,6,2019/05/29,Newlands Enterprises Ltd.,Fort St James,"$617,798.00",2019/05/29,British Columbia,Canada
Ministry of Transportation and Infrastructure - Construction,Ministry of Transportation and Infrastructure - Construction,Alexandra Bridge steel and concrete rehabilitation,12277MJ2019,MOTITT,2019/05/23,4,2019/05/29,Surespan Construction Ltd.,North Vancouver,"$3,140,346.49",2019/06/07,British Columbia,Canada
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",Maggie Lake FSR 5.6km Bridge Installation ,EN20NAN603,ITT,2019/05/23,0,2019/06/20,Denis Francoeur Backhoeing Ltd.,Port Alberni,"$320,527.32",2019/07/08,British Columbia,Canada
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",Maggie Lake FSR 5.6km Bridge Installation ,EN20NAN603,ITT,2019/05/23,0,2019/06/20,Denis Francoeur Backhoeing Ltd.,Port Alberni,"$130,790.00",2019/06/26,British Columbia,Canada
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",Archaeological Impact Assessments ,FS20DSN014,RFP,2019/05/23,1,2019/05/29,Ecofor Consulting BC Ltd,Prince George,"$8,090.00",2019/05/29,British Columbia,Canada
Ministry of Environment and Climate Change Strategy,Ministry of Environment and Climate Change Strategy,Integrated Incident Management System,ON-10403,RFP,2019/05/23,5,2019/05/27,"ESi Acquisitions, Inc.",Rincon,"$1,677,127.00",2019/10/28,Georgia,United States
Procurement Services Branch,Ministry of Citizens' Services,IBM Rational Software Support and Maintenance,ITQ-005898,Itq,2019/05/23,1,2019/05/27,Newcomp Analytics Inc.,Thornhill,"$20,160.00",2019/06/12,Ontario,Canada
Ministry of Environment and Climate Change Strategy,Ministry of Environment and Climate Change Strategy,BC Parks- Prefabrication of Urine Diversion Toilet Buildings,ITT CP20NAN020,ITT,2019/05/24,0,2019/06/11,Frederick S Coppick DBA Greatscapes Installations,Comox,"$39,000.00",2019/06/20,British Columbia,Canada
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",Road Infrastructure Asset Management Plan Implementation Plan,EN20EHQ002,RFP,2019/05/27,0,2019/06/28,N/A,,$0.00,2019/07/23,,
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",Road Infrastructure Asset Management Plan Implementation Plan,EN20EHQ002,RFP,2019/05/27,0,2019/06/28,N/A,,$0.00,2019/07/23,,
Procurement Services Branch,Ministry of Citizens' Services,Atlassian Confluence (Server) 250 Commercial Licence (Victoria),ITQ-005894,Itq,2019/05/27,0,2019/06/04,SHI Canada ULC,Toronto,"$16,763.19",2019/06/13,Ontario,Canada
Ministry of Citizens' Services,Ministry of Citizens' Services,Mechanical and Electrical Upgrades- Surrey Courthouse,ON-003348,RQU,2019/05/28,1,2019/05/30,Davidson Bros Mechanical Contractors Ltd,Burnaby,$0.00,2019/06/27,British Columbia,Canada
Ministry of Citizens' Services,Ministry of Citizens' Services,Mechanical and Electrical Upgrades- Surrey Courthouse,ON-003348,RQU,2019/05/28,1,2019/05/30,Modern Niagara Vancouver Inc,North Vancouver,$0.00,2019/06/27,British Columbia,Canada
Procurement Services Branch,Ministry of Environment and Climate Change Strategy,Rigid Hull Inflatable Boat (Tofino),ITQ-005883,Itq,2019/05/28,3,2019/05/31,Titan Boats Ltd,Sidney,"$404,220.67",2019/07/03,British Columbia,Canada
Ministry of Citizens' Services,Ministry of Citizens' Services,Mechanical and Electrical Upgrades- Surrey Courthouse,ON-003348,RQU,2019/05/28,1,2019/05/30,Dual Mechanical Ltd,Surrey,$0.00,2019/06/27,British Columbia,Canada
Procurement Services Branch,Ministry of Health,"IBM Websphere App. Server Processor, SW & Support (Victoria)",ITQ-005901,Itq,2019/05/28,0,2019/06/05,GlassHouse Systems Inc.,Toronto,"$187,474.56",2019/06/05,Ontario,Canada
Ministry of Citizens' Services,Ministry of Citizens' Services,Mechanical and Electrical Upgrades- Surrey Courthouse,ON-003348,RQU,2019/05/28,1,2019/05/30,Black & McDonald Limited,Vancouver,$0.00,2019/06/27,British Columbia,Canada
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",Woodjam Creek Fence,RA20DCC001,ITT,2019/05/29,0,2019/06/18,Brenfold Farms,100 Mile House,"$76,032.00",2019/06/18,British Columbia,Canada
Ministry of Transportation and Infrastructure,Ministry of Transportation and Infrastructure,Investigation Services,10491,RFP,2019/05/29,2,2019/06/14,Xpera Risk Management and Investigations LP,Burnaby,"$150,000.00",2019/08/12,British Columbia,Canada
Procurement Services Branch,Ministry of Public Safety and Solicitor General,Dump box for F-550 chassis,ITQ-005891,Itq,2019/05/29,2,2019/05/31,Express Custom Trailer Manufacturing Inc,Parksville,"$20,108.31",2019/06/12,British Columbia,Canada
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",As & When Structural Engineering Services ,1070-20-NEGENGINEER,ITT,2019/05/29,1,2019/06/13,Allnorth Consultants Limited,Prince George,"$42,350.00",2019/06/26,British Columbia,Canada
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",As & When Structural Engineering Services ,1070-20-NEGENGINEER,ITT,2019/05/29,1,2019/06/13,Allnorth Consultants Limited,Prince George,"$42,350.00",2019/06/26,British Columbia,Canada
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",As & When Structural Engineering Services ,1070-20-NEGENGINEER,ITT,2019/05/29,1,2019/06/13,Associated Engineering BC Ltd.,Vancouver,"$42,500.00",2019/06/26,British Columbia,Canada
Ministry of Environment and Climate Change Strategy,Ministry of Environment and Climate Change Strategy,Newcastle Island Provincial Park Pavilion Repairs,ITT CP20NAN017,ITT,2019/05/30,2,2019/06/06,Copcan Civil Ltd.,Nanaimo,"$125,370.00",2019/06/14,British Columbia,Canada
Procurement Services Branch,"Ministry of Forests, Lands, Natural Resource Operations and R.D.",1 Steel Girder Concrete Deck Bridge (Vavenby),ITQ-005900,Itq,2019/05/31,1,2019/06/04,Rapid-Span Structures Ltd,Armstrong,"$202,496.00",2019/06/05,British Columbia,Canada
Ministry of Environment and Climate Change Strategy,Ministry of Environment and Climate Change Strategy,Ross Lake Shelter Expansion,OP20LME0001,ITT,2019/06/03,1,2019/06/14,N/A,,$0.00,2019/07/06,,
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.","2019 Aerial image acquisition for KALUM, British Columbia",OP20BMC021,RFP,2019/06/03,1,2019/06/05,GEOSYS Technology Solutions,North Vancouver,"$379,960.00",2019/06/18,British Columbia,Canada
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.","Wildfire Rehab Plans - Prescriptions, Implementation - 100 Mile ",GS20RDH004,ITT,2019/06/04,1,2019/06/11,Iverson Forest Management Inc,Duncan,"$58,319.50",2019/07/11,British Columbia,Canada
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",Northeast Region Caribou Mortality Investigations,10558,ITQ,2019/06/04,0,2019/06/18,Wildlife Infometrics,Mackenzie,"$15,000.00",2019/07/02,British Columbia,Canada
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.","Wildfire Rehab Plans - Prescriptions, Implementation - Quesnel",GS20RDQ002,ITT,2019/06/04,1,2019/06/11,B.A. BLACKWELL & ASSOCIATES LTD.,Vancouver,"$101,695.00",2019/07/02,British Columbia,Canada
Ministry of Citizens' Services,Ministry of Citizens' Services,Senior Project Manager- Transition Role,ON-003347,RFP,2019/06/04,4,2019/06/07,Randstad,Victoria,$0.00,2019/06/19,British Columbia,Canada
Ministry of Transportation and Infrastructure - Construction,Ministry of Transportation and Infrastructure - Construction,Bridge replacement and intersection improvement.,23606MJ0001,MOTITT,2019/06/05,2,2019/06/13,DCL Construction Services Ltd.,Calgary,"$6,527,057.00",2019/06/26,Alberta,Canada
Ministry of Transportation and Infrastructure - Construction,Ministry of Transportation and Infrastructure - Construction,Birk Creek Bridge No. 7532 Culvert Replacement,23976MJ0001,MOTITT,2019/06/05,1,2019/06/12,DCL Construction Services Ltd.,Calgary,"$778,641.00",2019/06/20,Alberta,Canada
Ministry of Transportation and Infrastructure - Construction,Ministry of Transportation and Infrastructure - Construction,Hydrographic Surveys at Selected Structures in British Columbia,83106OP2002,MOTITT,2019/06/05,0,2019/06/26,CRA Canada Surveys Inc.,Cultus Lake,"$166,485.00",2019/07/07,British Columbia,Canada
Ministry of Transportation and Infrastructure - Construction,Ministry of Transportation and Infrastructure - Construction,Hydrographic Surveys at Selected Structures in British Columbia,83106OP2002,MOTITT,2019/06/05,0,2019/06/26,CRA Canada Surveys Inc.,Cultus Lake,"$166,485.00",2019/07/07,British Columbia,Canada
Ministry of Transportation and Infrastructure - Construction,Ministry of Transportation and Infrastructure - Construction,Hydrographic Surveys at Selected Structures in British Columbia,83106OP2002,MOTITT,2019/06/05,0,2019/06/26,CRA Canada Surveys Inc.,Cultus Lake,"$166,485.00",2019/07/05,British Columbia,Canada
Ministry of Transportation and Infrastructure - Construction,Ministry of Transportation and Infrastructure - Construction,Hydrographic Surveys at Selected Structures in British Columbia,83106OP2002,MOTITT,2019/06/05,0,2019/06/26,CRA Canada Surveys Inc.,Cultus Lake,"$166,485.00",2019/07/05,British Columbia,Canada
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",Wildfire Rehab Plans- Prescriptions Cariboo - Chilcotin C5 Fires,GS20RDC005,ITT,2019/06/05,2,2019/06/11,Iverson Forest Management Inc.,Duncan,"$58,676.50",2019/07/03,British Columbia,Canada
Ministry of Children and Family Development,Ministry of Children and Family Development,Aboriginal Infant Development Program Northeast ,NR096SRFP,SRFP,2019/06/05,1,2019/06/18,Child Development Centre of Fort St. John and District,Fort St John,"$90,000.00",2019/11/01,British Columbia,Canada
Procurement Services Branch,Ministry of Citizens' Services,Java SSP Plug Ins Support Renewal (Victoria),ITQ-005906,Itq,2019/06/05,0,2019/06/13,Insight Canada Inc,Montreal,"$8,536.86",2019/06/25,Quebec,Canada
Ministry of Transportation and Infrastructure,Ministry of Transportation and Infrastructure,RFQ2020FGD,RFQ2020FGD,RFP,2019/06/05,0,2019/06/20,Domcor,Prince George,"$50,000.00",2019/07/02,British Columbia,Canada
Ministry of Transportation and Infrastructure,Ministry of Transportation and Infrastructure,RFQ2020FGD,RFQ2020FGD,RFP,2019/06/05,0,2019/06/20,Alliance Traffic Group,Prince George,"$50,000.00",2019/07/02,British Columbia,Canada
Procurement Services Branch,Ministry of Transportation and Infrastructure,Treated Wood Fence Posts (Merritt),ITQ-005902,Itq,2019/06/05,1,2019/06/11,Princeton Wood Preservers Ltd.,Princeton,"$304,819.20",2019/06/11,British Columbia,Canada
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",Powers Creek Fish Ladder Replacement,GS20PNE101,ITT,2019/06/05,0,2019/06/26,Landmark Solutions,Salmon Arm,"$110,354.00",2019/07/08,British Columbia,Canada
Ministry of Citizens' Services,Ministry of Citizens' Services,Prime Consultant Advisory Services,ON-003349,RFP,2019/06/05,3,2019/06/20,MQN Architecture & Interior Design,Vernon,"$1,506,895.00",2019/07/08,British Columbia,Canada
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",Pitt River Landfill Erosion Barrier Remediation,IITCCSP2020-01,ITT,2019/06/06,2,2019/06/11,Milestone Environmental Contracting Inc.,Langley,"$342,761.50",2019/06/18,British Columbia,Canada
Ministry of Transportation and Infrastructure,Ministry of Transportation and Infrastructure,RFP-Technical Services for George Massey Crossing Project,RFP-SCR-GMC1,RFP,2019/06/06,4,2019/06/14,COWI North America Ltd.,Vancouver,"$3,576,000.00",2019/07/05,British Columbia,Canada
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.","Prof Eng Close Proximity Bridge Inspections,Reports,Load Ratings",EN20474-023,RFP,2019/06/07,1,2019/06/25,Onsite Engineering Ltd.,Campbell River,"$110,680.50",2019/06/25,British Columbia,Canada
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.","LiDAR/Image acquisition for 100 Mile House, BritIsh Columbia",OP20BMC023,RFP,2019/06/07,2,2019/06/13,GEOSYS Technology Solutions,North Vancouver,"$655,513.50",2019/06/25,British Columbia,Canada
Ministry of Transportation and Infrastructure,Ministry of Transportation and Infrastructure,As & When Required Project Supervision Services South Peace,331LM9421-PS,ITQ,2019/06/07,0,2019/06/17,Associated Engineering (B.C.) Ltd.,Vancouver,"$50,000.00",2019/06/24,British Columbia,Canada
Ministry of Transportation and Infrastructure,Ministry of Transportation and Infrastructure,HIGHWAY 91/17 & Deltaport Way Project - Demolition Services,089LM0008,ITQ,2019/06/10,2,2019/06/13,Amiante Environmental Consulting Inc.,Abbotsford,"$26,000.00",2019/07/05,British Columbia,Canada
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.","""As and When"" Road Deactivation Specialist",CS20LMN307,ITT,2019/06/10,0,2019/06/27,Bushtech BC Ltd.,Hope,"$62,950.00",2019/06/28,British Columbia,Canada
Procurement Services Branch,Ministry of Health,SoapUI Renewal (Victoria),ITQ-005909,Itq,2019/06/10,1,2019/06/18,SmartBear Software Inc.,Somerville,"$38,815.20",2019/06/24,Massachusetts,United States
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",Bowers Landing FSR Upgrade 100 Mile House Natural Resource Dist,EN20DMH004,ITT,2019/06/11,1,2019/06/20,Dowling C. Monette Logging Ltd.,100 Mile House,"$16,219.37",2019/07/05,British Columbia,Canada
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",Prince George NRD Archaeological Overview Assessment,ARCHAOA2,SRFP,2019/06/12,1,2019/07/10,N/A,,$0.00,2019/09/03,,
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",Prince George NRD Archaeological Overview Assessment,ARCHAOA2,SRFP,2019/06/12,1,2019/07/10,N/A,,$0.00,2019/09/03,,
