Issued by Organization,Issued for Organization,Title,Tender No,Procurement Method,Issued Date,Amendments,Closing Date,Successful Vendor,Successful Vendor City,Province,Country,Award Total,Date Awarded
Ministry of Public Safety & Solicitor General & Emergency B.C.,Ministry of Public Safety & Solicitor General & Emergency B.C.,Indigenous Cultural Liaison ,NFPCICL2022,SRFP,2021/02/26,0,2021/03/22,N/A,,,,$0.00,2021/04/15
Ministry of Public Safety & Solicitor General & Emergency B.C.,Ministry of Public Safety & Solicitor General & Emergency B.C.,Indigenous Cultural Liaison ,NFPCICL2022,SRFP,2021/02/26,0,2021/03/22,N/A,,,,$0.00,2021/04/15
Ministry of Attorney General,Ministry of Attorney General,Direct Award for Inspection of Flood Control Assets,NOIEMBC55,NOI,2021/04/22,1,2021/04/22,Legacy Pacific Contracting Ltd,Chilliwack,British Columbia,Canada,"$48,000.00",2021/04/15
Ministry of Citizens' Services,Ministry of Citizens' Services,"222 Main St Life Cycle Extension Project, Vancouver, BC",ON-003575,RQU,2021/01/11,2,2021/01/13,N/A,,,,$0.00,2021/04/15
Ministry of Citizens' Services,Ministry of Citizens' Services,SRFP for Exchange Lab User Centered Design Services,SRFP-DPD202103,SRFP,2021/03/18,2,2021/03/26,OXD Consulting Ltd.,Vancouver,British Columbia,Canada,"$250,000.00",2021/04/15
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",Greenhouse/Nursery Area Maintenance Services Contract,SRFP21JHQ037,RFP,2021/02/09,0,2021/03/04,Christopher Francis Pyatt DBA Christopher Francis Pyatt,Cobble Hill,British Columbia,Canada,"$149,900.00",2021/04/15
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",Greenhouse/Nursery Area Maintenance Services Contract,SRFP21JHQ037,RFP,2021/02/09,0,2021/03/04,Christopher Francis Pyatt DBA Christopher Francis Pyatt,Cobble Hill,British Columbia,Canada,"$46,000.00",2021/04/15
Procurement Services Branch,Ministry of Citizens' Services,HCL Domino Collaboration Express Support,ITQ-006626,Itq,2021/04/13,1,2021/04/15,GlassHouse Systems Inc.,North York,Ontario,Canada,"$8,242.39",2021/04/16
Ministry of Transportation and Infrastructure - Construction,Ministry of Transportation and Infrastructure - Construction,H1 Little River to Salmon Arm Intermittent & Local Roads Paving ,25289MJ0000,MOTITT,2021/03/29,0,2021/04/15,Dawson Construction Limited,Kamloops,British Columbia,Canada,"$6,962,571.39",2021/04/16
Ministry of Transportation and Infrastructure - Construction,Ministry of Transportation and Infrastructure - Construction,H1 Little River to Salmon Arm Intermittent & Local Roads Paving ,25289MJ0000,MOTITT,2021/03/29,0,2021/04/15,Dawson Construction Limited,Kamloops,British Columbia,Canada,"$6,962,571.39",2021/04/16
Ministry of Transportation and Infrastructure - Construction,Ministry of Transportation and Infrastructure - Construction,Asphalt Surfacing Highway 16 Terrace Area & Thornhill Side Roads,37894MJ0000,MOTITT,2021/04/08,1,2021/04/14,Terus Construction Ltd.Dba Terrace Paving,Terrace,British Columbia,Canada,"$4,586,532.08",2021/04/16
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.","Together for Wildlife Strategy- Implementation of Actions 14, 3 ",CS21NRH1979,RFP,2021/02/28,1,2021/03/13,Funzimo Enterprises Ltd.,Victoria,British Columbia,Canada,"$60,000.00",2021/04/16
Ministry of Environment and Climate Change Strategy,Ministry of Environment and Climate Change Strategy,Supply and Installation of Playground Equipment ,RFP-CP22NAN003,RFP,2021/03/24,2,2021/03/29,Habitat Systems Inc.,Burnaby,British Columbia,Canada,"$135,716.00",2021/04/16
Ministry of Transportation and Infrastructure,Ministry of Transportation and Infrastructure,Integrated Transportation and Development Planning,RFP-ITPB-200804,RFP,2020/09/03,4,2020/09/04,HDR Corporation,Vancouver,British Columbia,Canada,"$550,000.00",2021/04/16
