Issued by Organization,Issued for Organization,Title,Tender No,Procurement Method,Issued Date,Amendments,Closing Date,Successful Vendor,Successful Vendor City,Province,Country,Award Total,Date Awarded
Ministry of Public Safety & Solicitor General & Emergency B.C.,Ministry of Public Safety & Solicitor General & Emergency B.C.,Body Removal & Transportation - Nelson ,BCCS21NOI711J,NOI,2021/04/07,0,2021/04/21,Thompson Funeral Service Ltd.,Nelson,British Columbia,Canada,"$150,000.00",2021/04/26
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",Routine Bridge & Major Culvert Inspections - DSN,EN22PGN301,ITT,2021/03/25,1,2021/04/20,Solid Soil Solutions Ltd.,Prince George,British Columbia,Canada,"$14,024.22",2021/04/26
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",Routing Bridge & Major Culvert Inspections - DND,EN22PGN302,ITT,2021/03/31,1,2021/04/15,Solid Soil Solutions Ltd.,Prince George,British Columbia,Canada,"$24,314.56",2021/04/26
Ministry of Health,Ministry of Health,Rapid Evidence Review Services,SRFPHL2021-006,SRFP,2021/03/23,1,2021/04/01,Vivian Ann Victoria Foerster,Oxford Station,Ontario,Canada,"$75,000.00",2021/04/26
Ministry of Public Safety & Solicitor General & Emergency B.C.,Ministry of Public Safety & Solicitor General & Emergency B.C.,Body Removal & Transportation - Comox ,BCCS21NOI706D,NOI,2021/04/07,0,2021/04/21,Nicholas Williamson,Victoria,British Columbia,Canada,"$70,000.00",2021/04/27
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",Excavator & Dump Truck/Trailer combo for Wildfire Rehab- Quesnel,EQ22RDQ003,ITT,2021/03/30,1,2021/04/08,Way Out West Contracting Ltd,Quesnel,British Columbia,Canada,"$68,880.00",2021/04/27
Ministry of Transportation and Infrastructure,Ministry of Transportation and Infrastructure,SRFP for Structural Engineering Construction Management Services,MOTI-21-SCR-SCM,SRFP,2021/02/07,0,2021/02/16,TEKNIK ENGINEERING INC.,Surrey,British Columbia,Canada,"$249,000.00",2021/04/27
Ministry of Transportation and Infrastructure,Ministry of Transportation and Infrastructure,Traffic Control and First Aid Services Terrace/Kitimat Area,334LM2200,ITQ,2021/03/16,0,2021/03/29,Gitxsan Safety Services Inc.,Hazelton,British Columbia,Canada,"$50,000.00",2021/04/28
Ministry of Transportation and Infrastructure,Ministry of Transportation and Infrastructure,Traffic Control and First Aid Services Nass Valley Area,334LM2201,ITQ,2021/03/16,0,2021/03/29,Gitxsan Safety Services Inc.,Hazelton,British Columbia,Canada,"$50,000.00",2021/04/28
Ministry of Transportation and Infrastructure,Ministry of Transportation and Infrastructure,Traffic Control and First Aid Services Prince Rupert Area,334LM2202,ITQ,2021/03/16,0,2021/03/29,Pacific Flagging Ltd.,Prince Rupert,British Columbia,Canada,"$50,000.00",2021/04/28
Ministry of Attorney General,Ministry of Attorney General,NOI to Direct Award a Contract Renewal to Legal Files Software,NOI - LFMAR21,NOI,2021/03/17,0,2021/03/31,Legal Files Software Inc.,springfield,Illinois,United States,"$200,000.00",2021/04/28
Ministry of Transportation and Infrastructure - Construction,Ministry of Transportation and Infrastructure - Construction,H5 Henning Bridge No. 2830E and 2830W Deck Resurfacing,25272MJ0000,MOTITT,2021/04/21,2,2021/04/27,Neel-co Builders (2014) Ltd.,Chilliwack,British Columbia,Canada,"$1,408,885.00",2021/04/29
Ministry of Transportation and Infrastructure - Construction,Ministry of Transportation and Infrastructure - Construction,H5A Princeton to Aspen Grove and Local Area Side Roads Paving,25331MJ0000,MOTITT,2021/04/09,0,2021/04/27,Peter’s Bros. Construction Ltd.,Penticton,British Columbia,Canada,"$9,123,121.00",2021/04/29
Ministry of Transportation and Infrastructure - Construction,Ministry of Transportation and Infrastructure - Construction,H5A Princeton to Aspen Grove and Local Area Side Roads Paving,25331MJ0000,MOTITT,2021/04/09,0,2021/04/27,Peter’s Bros. Construction Ltd.,Penticton,British Columbia,Canada,"$9,123,121.00",2021/04/29
Procurement Services Branch,Ministry of Citizens' Services,IBM InfoSphere Master Data Management Patient Hub - Standard Edi,ITQ-006635,Itq,2021/04/21,0,2021/04/29,CDW Canada Corp.,Toronto,Ontario,Canada,"$684,242.50",2021/04/29
Ministry of Transportation and Infrastructure,Ministry of Transportation and Infrastructure,RFP - As & When Safety Services ,RFP-FS-20210224,RFP,2021/03/18,1,2021/03/19,Arcose Consulting Ltd.,Kamloops,British Columbia,Canada,"$50,000.00",2021/04/30
Ministry of Transportation and Infrastructure,Ministry of Transportation and Infrastructure,RFP - As & When Safety Services ,RFP-FS-20210224,RFP,2021/03/18,1,2021/03/19,RAM Consulting Ltd.,Vancouver,British Columbia,Canada,"$50,000.00",2021/04/30
Ministry of Transportation and Infrastructure,Ministry of Transportation and Infrastructure,RFP - As & When Safety Services ,RFP-FS-20210224,RFP,2021/03/18,1,2021/03/19,Regehr Workplace Safety Solutions,Abbotsford,British Columbia,Canada,"$50,000.00",2021/04/30
Ministry of Transportation and Infrastructure,Ministry of Transportation and Infrastructure,RFP - As & When - Technical Writing & Editing Services,RFP-FS-20210225,RFP,2021/03/18,1,2021/03/19,Polestar Communications Inc.,Kamloops,British Columbia,Canada,"$25,000.00",2021/04/30
Ministry of Transportation and Infrastructure,Ministry of Transportation and Infrastructure,RFP - As & When - Technical Writing & Editing Services,RFP-FS-20210225,RFP,2021/03/18,1,2021/03/19,Lynne Melcombe Communications,Port Moody,British Columbia,Canada,"$25,000.00",2021/04/30
Ministry of Municipal Affairs,Ministry of Municipal Affairs,"Electrical Service, Maintenance, and Installation",RFP22UEL01,RFP,2021/03/25,0,2021/04/22,Western Integrated Electrical,Burnaby,British Columbia,Canada,"$80,000.00",2021/04/30
Ministry of Transportation and Infrastructure - Construction,Ministry of Transportation and Infrastructure - Construction,Bridge Deck Rehabilitation and Channelization Works,12267MJ0001,MOTITT,2021/05/11,2,2021/05/19,Seismic 2000 Construction Ltd.,Langley,British Columbia,Canada,"$8,663,301.00",2021/05/01
Ministry of Environment and Climate Change Strategy,Ministry of Environment and Climate Change Strategy,Mount Seymour Park Operator Agreement ITQ,BCP2021-03,ITQ,2021/03/29,2,2021/04/06,Mt. Seymour Resorts Ltd.,Vancouver,British Columbia,Canada,"$525,070.00",2021/05/01
Ministry of Municipal Affairs,Ministry of Municipal Affairs,Conduct a Governance and Management Review of the Islands Trust,RFP21-IT-001,RFP,2021/03/30,2,2021/04/06,Great Northern Management Consultants,Vancouver,British Columbia,Canada,"$75,000.00",2021/05/01
Procurement Services Branch,"Ministry of Energy, Mines, and Low Carbon Innovation",Radar Altimeter attachment for RPAS,ITQ-006633,Itq,2021/04/20,0,2021/04/28,"Aerobotic Geophysical Systems, LLC",Denver,Colorado,United States,"$9,150.00",2021/05/03
Ministry of Transportation and Infrastructure - Construction,Ministry of Transportation and Infrastructure - Construction,"Rock Slope Stabilization, Pinnacles Bluff Trim, Highway 1",86002MN0251,MOTITT,2021/04/08,0,2021/04/29,Dynamite Construction Ltd.,Kamloops,British Columbia,Canada,"$99,390.00",2021/05/03
Ministry of Transportation and Infrastructure - Construction,Ministry of Transportation and Infrastructure - Construction,"Rock Slope Stabilization, Pinnacles Bluff Trim, Highway 1",86002MN0251,MOTITT,2021/04/08,0,2021/04/29,Dynamite Construction Ltd.,Kamloops,British Columbia,Canada,"$99,390.00",2021/05/03
Procurement Services Branch,"Ministry of Forests, Lands, Natural Resource Operations and R.D.",Fabricate/supply concrete slab Bridge K1748 Duffy (Dairy Lake),ITQ-006631,Itq,2021/04/19,1,2021/04/21,TRI-KON PRECAST PRODUCTS LTD.,Cranbrook,British Columbia,Canada,"$173,817.97",2021/05/03
Ministry of Transportation and Infrastructure,Ministry of Transportation and Infrastructure,IM/IT Architecture Services,MOTI-AS-20210324,RFP,2021/04/16,3,2021/04/19,Quartach Systems Limited,Victoria,British Columbia,Canada,"$850,000.00",2021/05/03
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",Grading and Snow Ploughing Forest Service Roads within the Princ,EN22DPG702,ITT,2021/04/27,5,2021/05/04,Cyril Schultz,Dome Creek,British Columbia,Canada,"$87,480.52",2021/05/04
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",Road Maintenance including Grading and Snow Ploughing Forest Ser,EN22DPG704,ITT,2021/04/27,3,2021/05/04,Cyril Schultz,Dome Creek,British Columbia,Canada,"$80,856.62",2021/05/04
Ministry of Transportation and Infrastructure - Construction,Ministry of Transportation and Infrastructure - Construction,Dakota Creek Bridge No. 07340 Scour Protection,12854MJ0001,MOTITT,2021/04/15,1,2021/04/22,Transcendent Mining & Mobilization Inc.,Sparwood,British Columbia,Canada,"$1,176,208.80",2021/05/04
Ministry of Transportation and Infrastructure - Construction,Ministry of Transportation and Infrastructure - Construction,Seismic retrofit of a three span concrete box girder bridge,12901MJ0001,MOTITT,2021/04/21,3,2021/04/28,Bayline Construction Ltd.,Maple Ridge,British Columbia,Canada,"$296,354.69",2021/05/04
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",Prince George Forest District Archaeological Overview Assessment,CS22DPG701,ITT,2021/04/13,0,2021/04/27,Ecofor Consulting BC Ltd.,Prince George,British Columbia,Canada,"$14,900.00",2021/05/04
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",Detailed aerial detection of bark beetles in the Cariboo Region,FH22WLN002,ITT,2021/04/23,5,2021/05/03,Technapro Forest Management Inc.,Williams Lake,British Columbia,Canada,"$18,750.00",2021/05/04
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",DEFOLIATOR SPRAY EFFICACY SAMPLING IN THE CARIBOO REGION,FH22WLN003,ITT,2021/04/28,2,2021/05/04,Technapro Forest Management Inc.,Williams Lake,British Columbia,Canada,"$9,940.00",2021/05/04
Procurement Services Branch,Ministry of Transportation and Infrastructure,Wheel Chocks (Various Locations throughout BC),ITQ-006629,Itq,2021/04/13,2,2021/04/19,SW SafetyWhips Canada ULC,Surrey,British Columbia,Canada,"$121,676.31",2021/05/04
Ministry of Citizens' Services,Ministry of Citizens' Services,Professional Facilities Consultant Services,ON-003609,RFP,2021/03/12,3,2021/03/18,Integral Group Consulting,Victoria,British Columbia,Canada,"$234,440.00",2021/05/04
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",Hiring Support ,12295,ITQ,2021/04/26,0,2021/05/03,TallSky Consulting Group,Victoria,British Columbia,Canada,"$13,000.00",2021/05/05
Procurement Services Branch,Ministry of Citizens' Services,Quest Support Renewal for the period 01-Apr-21 to 31-May-22,ITQ-006638,Itq,2021/04/27,2,2021/04/30,Softchoice LP,Vancouver,British Columbia,Canada,"$125,837.72",2021/05/05
Procurement Services Branch,Ministry of Citizens' Services,IBM Cognos Support Renewal,ITQ-006639,Itq,2021/04/23,0,2021/05/03,CDW Canada Corp.,Toronto,Ontario,Canada,"$2,102,031.09",2021/05/05
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",Fort Nelson South Recreation Sites Maintenance – Fort Nelson,RC222470007MY,ITT,2021/03/10,0,2021/03/31,Back Country Services Ltd,Fort Nelson,British Columbia,Canada,"$3,020.00",2021/05/05
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",Fort Nelson South Recreation Sites Maintenance – Fort Nelson,RC222470007MY,ITT,2021/03/10,0,2021/03/31,Back Country Services,Fort Nelson,British Columbia,Canada,"$7,430.00",2021/05/05
Ministry of Public Safety & Solicitor General & Emergency B.C.,Ministry of Public Safety & Solicitor General & Emergency B.C.,NOI to direct award for coordinator services,NOI 12203,NOI,2021/03/22,0,2021/03/30,Norm McPhail,Black Creek,British Columbia,Canada,"$80,000.00",2021/05/06
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",2.9km Owen East FSR Bridge Installation,EN22PGN323,ITT,2021/04/27,2,2021/05/06,West Horizon Contracting Inc.,Smithers,British Columbia,Canada,"$205,000.00",2021/05/06
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",GS22MRB900 Kicking Horse Trail WRR Prescriptions,GS22MRB900,ITT,2021/04/13,0,2021/05/05,Pioneer Forest Consulting Ltd.,Golden,British Columbia,Canada,"$7,100.00",2021/05/06
Procurement Services Branch,"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Request for Standing Offer - Chainsaws (Chilliwack, BC)",ITQ-006636,Itq,2021/04/26,0,2021/05/04,Cascade Supply & Marine Ltd,Chilliwack,British Columbia,Canada,$0.00,2021/05/06
Ministry of Public Safety & Solicitor General & Emergency B.C.,Ministry of Public Safety & Solicitor General & Emergency B.C.,Temporary Body Storage in Kamloops area,BCCS21NOI711E,NOI,2021/02/02,2,2021/02/03,N/A,,,,$0.00,2021/05/07
Ministry of Children and Family Development,Ministry of Children and Family Development,Transition Counselling- Kamloops,MCFD-09-2021,SRFP,2021/03/18,0,2021/04/15,N/A,,,,$0.00,2021/05/07
Procurement Services Branch,Ministry of Transportation and Infrastructure,Supply & Delivery of Rockfall Attenuator System (3 Valley Gap),ITQ-006632,Itq,2021/04/20,2,2021/04/30,"Geobrugg North America, LLC",Algodones,New Mexico,United States,"$302,398.88",2021/05/10
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.","Lakes FRPA Forest Landscape Plan, Resiliency Project facilitator",1070-30/FH22FHQ012,RFP,2021/03/12,0,2021/04/06,FORSITE CONSULTING LTD.,Salmon Arm,British Columbia,Canada,"$159,024.00",2021/05/10
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",McNair Lake Dam Removal Project,GS22NAN407,ITT,2021/04/21,1,2021/05/06,A.Wood Bulldozing,Campbell River,British Columbia,Canada,"$161,397.00",2021/05/10
Ministry of Environment and Climate Change Strategy,Ministry of Environment and Climate Change Strategy,EC Manning Park - Eastgate/Bonnevier - Fuel Treatment,GS22PNE200,RFP,2021/04/06,0,2021/05/04,Arc Ridge Ltd.,Vernon,British Columbia,Canada,"$105,000.00",2021/05/10
Ministry of Environment and Climate Change Strategy,Ministry of Environment and Climate Change Strategy,Bonnevier Fuel Management Treatment Project Monitor/Liaison,GS22PNE201,RFP,2021/05/13,1,2021/05/28,Arc Ridge Ltd,Vernon,British Columbia,Canada,"$105,000.00",2021/05/10
Procurement Services Branch,Ministry of Health,"IBM WebSphere Maintenance & Support Renewal (Victoria, BC)",ITQ-006643,Itq,2021/04/27,0,2021/05/05,CDW Canada Corp.,Toronto,Ontario,Canada,"$177,955.68",2021/05/10
Procurement Services Branch,Ministry of Citizens' Services,Support & Maintenance Renewal For IBM Rational Software Products,ITQ-006647,Itq,2021/04/28,0,2021/05/06,CDW Canada Corp.,Toronto,Ontario,Canada,"$24,343.31",2021/05/10
Ministry of Children and Family Development,Ministry of Children and Family Development,Multi-Cultural Early Years Services,MCFDSF-EY-2021,SRFP,2021/03/08,4,2021/03/10,Options Community Services Society,Surrey,British Columbia,Canada,"$366,094.96",2021/05/10
"Ministry of Jobs, Economic Recovery and Innovation","Ministry of Jobs, Economic Recovery and Innovation",Communications Services Consultant,RFP21-JERI-18,RFP,2021/04/07,2,2021/04/19,PR Associates National Communications Ltd.,Vancouver,British Columbia,Canada,"$60,000.00",2021/05/10
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",ITQ-Mobile Fuel Tank for PG Fire Centre in Fort Nelson,10005-40/GS22PGE0003,ITQ,2021/04/16,2,2021/04/16,N/A,,,,$0.00,2021/05/11
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",ITQ-Mobile Fuel Tank for PG Fire Centre in Prince George,10005-40/GS22PGE0004,ITQ,2021/04/08,2,2021/04/16,N/A,,,,$0.00,2021/05/11
Procurement Services Branch,Ministry of Transportation and Infrastructure,PreCast Concrete Box Culverts (Okanagan Falls),ITQ-006640,Itq,2021/04/26,2,2021/05/03,Langley Concrete & Tile Ltd.,Langley,British Columbia,Canada,"$526,175.00",2021/05/11
Ministry of Public Safety & Solicitor General & Emergency B.C.,Ministry of Public Safety & Solicitor General & Emergency B.C.,NOI to direct award for Training Curriculum,NOI 12205,NOI,2021/03/23,0,2021/03/31,Dean Colthorp,Chilliwack,British Columbia,Canada,"$35,000.00",2021/05/11
Procurement Services Branch,Ministry of Citizens' Services,Annual support and maintenance for TIDAL software products,ITQ-006644,Itq,2021/05/03,2,2021/05/05,Tidal Software LLC,Chicago,Illinois,Canada,"$9,172.80",2021/05/12
Procurement Services Branch,"Ministry of Forests, Lands, Natural Resource Operations and R.D.",Request for Standing Offer - WASP Wildfire Protection Products,ITQ-006653,Itq,2021/05/03,0,2021/05/11,Wasp Manufacturing Ltd.,Port Coquitlam,British Columbia,Canada,$0.00,2021/05/12
Ministry of Transportation and Infrastructure - Construction,Ministry of Transportation and Infrastructure - Construction,Three Valley No. 00357 Foundation Modifications,23371MJ0000,MOTITT,2021/04/27,2,2021/05/04,Luxton Construction Inc.,Delta,British Columbia,Canada,"$572,700.00",2021/05/13
Ministry of Environment and Climate Change Strategy,Ministry of Environment and Climate Change Strategy,Valhalla Provincial Park-Slocan Lakeshore Campsite Improvements,ENV22-BCPKO-03,RFP,2021/04/19,1,2021/05/04,Tim Thurston,Nelson,British Columbia,Canada,"$140,529.70",2021/05/13
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",Duhu Lake Recreation Site Maintenance – Fort Nelson ,RC222470006MY,ITT,2021/03/10,0,2021/03/31,"Aitchison, Kevin Graham",Charlie Lake,British Columbia,Canada,"$2,100.00",2021/05/14
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",Tree Grinding Services at Skimikin Seed Orchard,1070-30/OP22FHQ018,ITQ,2021/05/06,3,2021/05/10,Huska Holdings Ltd,Kelowna,British Columbia,Canada,"$21,740.00",2021/05/14
"Ministry of Agriculture, Food and Fisheries","Ministry of Agriculture, Food and Fisheries",Audit Work,2022-5,RFP,2021/03/10,0,2021/04/23,MNP LLP,Kelowna,British Columbia,Canada,"$90,000.00",2021/05/14
Procurement Services Branch,"Ministry of Forests, Lands, Natural Resource Operations and R.D.",5-Gallon Poly Backpack Firefighting Pump & Parts,ITQ-006645,Itq,2021/04/27,0,2021/05/05,Western Equipment Ltd.,Chilliwack,British Columbia,Canada,"$161,548.35",2021/05/14
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",Haida Gwaii - Moresby Island Recreation Site & Trail Maintenance,RC223090001,ITT,2021/04/19,1,2021/05/07,Margaret Mathers dba Haida Gwaii Ties Contracting,Sandspit,British Columbia,Canada,"$3,300.00",2021/05/14
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",Road Maintenance Nilkitkwa FSR,EN22DSS001,ITT,2021/04/22,0,2021/05/13,West Horizon Contracting,Smithers,British Columbia,Canada,$0.00,2021/05/17
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",GS22MRB703 Hudson Bay Mtn Cabin Colony WRR Prescriptions,GS22MRB703,ITT,2021/04/15,0,2021/05/13,Forsite Consultants Ltd.,Salmon Arm,British Columbia,Canada,"$9,712.50",2021/05/17
Procurement Services Branch,"Ministry of Forests, Lands, Natural Resource Operations and R.D.",Request for SO for High Impact Safety Glasses & Safety Goggles,ITQ-006648,Itq,2021/05/03,1,2021/05/06,Bunzl Canada Inc,Coquitlam,British Columbia,Canada,$0.00,2021/05/17
Procurement Services Branch,"Ministry of Forests, Lands, Natural Resource Operations and R.D.",Request for Standing Offer - Various Safety Items(two locations),ITQ-006652,Itq,2021/05/03,0,2021/05/11,Hazmasters Inc.,Burnaby,British Columbia,Canada,$0.00,2021/05/17
Procurement Services Branch,"Ministry of Forests, Lands, Natural Resource Operations and R.D.",Request for Standing Offer for Helmet Headlamp Pixa2 By Petzl,ITQ-006654,Itq,2021/05/03,1,2021/05/11,"Motion Industries (Canada), Inc.",Abbotsford,British Columbia,Canada,$0.00,2021/05/17
Procurement Services Branch,"Ministry of Forests, Lands, Natural Resource Operations and R.D.",Request for Standing offer for Rain Gauges (BC Wildfire),ITQ-006655,Itq,2021/05/03,0,2021/05/11,"Motion Industries (Canada), Inc.",Abbotsford,British Columbia,Canada,$0.00,2021/05/17
Procurement Services Branch,"Ministry of Forests, Lands, Natural Resource Operations and R.D.",Request for Standing Offer for Oil for Chainsaw chain and bar,ITQ-006656,Itq,2021/05/03,0,2021/05/11,Lordco Parts Ltd.,Chilliwack,British Columbia,Canada,$0.00,2021/05/17
Ministry of Public Safety & Solicitor General & Emergency B.C.,Ministry of Public Safety & Solicitor General & Emergency B.C.,Indigenous Cultural Liaison,NFPCSRFPICL22,SRFP,2021/03/24,0,2021/04/21,N/A,,,,$0.00,2021/05/17
Ministry of Attorney General,Ministry of Attorney General,NOTICE OF INTENT TO DIRECT AWARD FOR POLICY CONSULTING,NOI-JSB-PLD-05-2021,NOI,2021/05/06,0,2021/05/17,Ronald Cuming,Saskatoon,Saskatchewan,Canada,"$25,000.00",2021/05/17
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",SRFP: Human Resource Services and Support,RC222130001SF,SRFP,2021/04/12,1,2021/04/16,CITIZENCENTRIC CONSULTING INC.,Victoria,British Columbia,Canada,"$75,000.00",2021/05/17
Ministry of Attorney General,Ministry of Attorney General,REQUEST FOR PROPOSALS Tall Wood Construction Expert Consultant,12038,SRFP,2021/02/19,1,2021/03/10,Senez Consulting Ltd.,Victoria,British Columbia,Canada,"$75,000.00",2021/05/18
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",ITQ-Mobile Fuel Tank for PG Fire Centre in Fort Nelson,GS22PGE0003,ITQ,2021/04/16,0,2021/04/23,N/A,,,,$0.00,2021/05/18
Ministry of Transportation and Infrastructure - Construction,Ministry of Transportation and Infrastructure - Construction,Vancouver Island Inlaid Durable Pavement Markings,12542MJ2101,MOTITT,2021/04/14,1,2021/05/13,Dunwell Innovations Inc.,Kelowna,British Columbia,Canada,"$689,190.00",2021/05/19
Ministry of Transportation and Infrastructure - Construction,Ministry of Transportation and Infrastructure - Construction,Lower Mainland and Sunshine Coast Durable Pavement Markings,12542MJ2102,MOTITT,2021/04/23,2,2021/05/07,Sutton Road Marking Ltd.,Surrey,British Columbia,Canada,"$1,012,357.00",2021/05/19
Ministry of Transportation and Infrastructure - Construction,Ministry of Transportation and Infrastructure - Construction,"Asphalt Road Resurfacing, Hwy 4, Kennedy Lake Area",16934MJ2021,MOTITT,2021/04/30,1,2021/05/12,Okanagan Aggregates Ltd.,Armstrong,British Columbia,Canada,"$3,484,950.00",2021/05/19
Procurement Services Branch,"Ministry of Forests, Lands, Natural Resource Operations and R.D.",Fabricate/supply steel girder/concrete deck Bridge Gillis Creek,ITQ-006659,Itq,2021/05/05,1,2021/05/13,Pioneer Precast Products,Chilliwack,British Columbia,Canada,"$168,051.52",2021/05/19
Procurement Services Branch,Ministry of Citizens' Services,"CA API Gateway Support Renewal (Prod and Non-Prod)(Victoria, BC)",ITQ-006658,Itq,2021/05/04,0,2021/05/10,"CA, Inc",San Jose,California,United States,"$43,367.50",2021/05/19
Procurement Services Branch,"Ministry of Forests, Lands, Natural Resource Operations and R.D.",Request for Standing Offer - Fire Rated Clothing (Chilliwack BC),ITQ-006646,Itq,2021/05/05,2,2021/05/10,MWG Apparel Corp,Winnipeg,Manitoba,Canada,$0.00,2021/05/20
Procurement Services Branch,"Ministry of Forests, Lands, Natural Resource Operations and R.D.",Request for Standing Offer for Oil for Chainsaw chain and bar,ITQ-006656,Itq,2021/05/03,0,2021/05/11,Acklands-Grainger Inc,Burnaby,British Columbia,Canada,$0.00,2021/05/20
Procurement Services Branch,"Ministry of Forests, Lands, Natural Resource Operations and R.D.",Request for Standing Offer - Fire Rated Clothing (Chilliwack BC),ITQ-006646,Itq,2021/05/05,2,2021/05/10,Unitex N B Company Ltd,Moncton,New Brunswick,Canada,$0.00,2021/05/20
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",Design and Build for the Dawson Creek Fire Zone ,RFP#21BCWSHQ015,RFP,2021/04/23,2,2021/04/30,C. Chandler Contracting Celtic Construction Ltd.,Dawson Creek,British Columbia,Canada,"$438,979.00",2021/05/21
Ministry of Transportation and Infrastructure - Construction,Ministry of Transportation and Infrastructure - Construction,HWY 5 Mine Creek Curves Central Median Barrier Placement,24585MJ0001,MOTITT,2021/04/07,0,2021/05/05,Jakes Construction Ltd.,Chilliwack,British Columbia,Canada,"$2,229,000.00",2021/05/21
Ministry of Transportation and Infrastructure - Construction,Ministry of Transportation and Infrastructure - Construction,HWY 5 Mine Creek Curves Central Median Barrier Placement,24585MJ0001,MOTITT,2021/04/07,0,2021/05/05,Jakes Construction Ltd.,Chilliwack,British Columbia,Canada,"$2,229,000.00",2021/05/21
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",Hankin-Evelyn Bridge Construction and Maintenance,EN22PGN326,ITT,2021/05/05,0,2021/05/21,West Horizon Contracting Inc.,Smithers,British Columbia,Canada,"$125,000.00",2021/05/21
Ministry of Public Safety & Solicitor General & Emergency B.C.,Ministry of Public Safety & Solicitor General & Emergency B.C.,NOI 12289 - GOS-01-21- Helen Kwan,12289,NOI,2021/04/23,0,2021/05/02,Hoi Man Kwan,Vancouver,British Columbia,Canada,"$53,000.00",2021/05/24
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",GS22MRB401 Troll Mountain WRR Prescriptions,GS22MRB401,ITT,2021/04/19,0,2021/05/18,Cabin Resource Management Ltd.,Vernon,British Columbia,Canada,"$8,989.00",2021/05/24
Ministry of Attorney General,Ministry of Attorney General,Clinical Counsellor,RFQ CP-01-19,RQU,2019/01/18,0,2019/02/15,Naj Consulting,Surrey,British Columbia,Canada,"$50,000.00",2021/05/24
Ministry of Attorney General,Ministry of Attorney General,RFQ GOS-01-21 Gambling Outreach Support,RFQ GOS-01-21,RQU,2021/03/23,3,2021/03/26,Hoi Man kwan,Vancouver,British Columbia,Canada,"$53,000.00",2021/05/24
Procurement Services Branch,"Ministry of Forests, Lands, Natural Resource Operations and R.D.",Request for Standing Offer for Bottled Water (Wildfire Services),ITQ-006642,Itq,2021/04/28,0,2021/05/06,Naturo Springs Inc.,Bridesville,British Columbia,Canada,$0.00,2021/05/25
Ministry of Children and Family Development,Ministry of Children and Family Development,CYSN Behaviour Support - North Okanagan,DGA210414,SRFP,2021/05/12,1,2021/05/12,Pivot POint Family Growth Centre Inc.,Surrey,British Columbia,Canada,"$18,631.92",2021/05/25
