Issued by Organization,Issued for Organization,Title,Tender No,Procurement Method,Issued Date,Amendments,Closing Date,Successful Vendor,Successful Vendor City,Province,Country,Award Total,Date Awarded,
Ministry of Transportation and Infrastructure - Construction,Ministry of Transportation and Infrastructure - Construction,H3A and H97 Intersection Improvements,25876MJ0001,MOTITT,2022/07/21,1,2022/08/16,Peter’s Bros. Construction Ltd.,Penticton,British Columbia,Canada,"$1,444,211.00",2022/09/01,
City of Richmond,City of Richmond,On Call Repair and Service Generator Contractor,8078Q,RFQ,2022/03/07,0,2022/04/04,Custom Power Generation,Coquitlam,British Columbia,,$0.00,2022/09/01,
Ministry of Forests,Ministry of Forests,KVR East Rail Trail Maintenance - Fife BC to Midway BC,EN23474036,ITT,2022/08/18,3,2022/08/24,N/A,,,,$0.00,2022/09/01,
BC Timber Sales - Contracts,BC Timber Sales - Contracts,Mechanical Site Preparation - Columbia Zone,SP23TKR019,ITT,2022/07/22,0,2022/08/19,Broken Branch Contracting Ltd.,Lumby,British Columbia,Canada,"$105,876.75",2022/09/01,
Ministry of Environment and Climate Change Strategy,Ministry of Environment and Climate Change Strategy,Construction and Delivery of Campfire Rings to Kamloops BC,RC23279-006,ITT,2022/08/02,1,2022/08/17,T-REX Metal Industries Ltd,Kamloops,British Columbia,Canada,"$16,425.00",2022/08/31,
Ministry of Environment and Climate Change Strategy,Ministry of Environment and Climate Change Strategy,Industrial Project Risk Rating Model,13453,RFP,2022/06/15,1,2022/07/04,KPMG LLP,Vancouver,British Columbia,Canada,"$99,900.00",2022/08/30,
BC Transit,,,21.097,NRFP,,0,,Moneris Solutions Corporation,Toronto,Ontario,,"$490,000.00",2022/08/30,
BC Timber Sales - Contracts,BC Timber Sales - Contracts,"BR23TKJ036 - Manual Brushing, TOC North Zone",BR23TKJ036,ITT,2022/07/13,1,2022/08/04,Leader Silviculture Ltd.,Naramata,British Columbia,Canada,"$95,682.50",2022/08/30,
Ministry of Forests,Ministry of Forests,Aerial Fertilization Selkirk,FE23DSE001,ITT,2022/08/26,2,2022/08/29,Western Aerial Applications Ltd.,Chilliwack,British Columbia,Canada,"$935,999.36",2022/08/30,
Ministry of Forests,Ministry of Forests,GS23RCL0001 - Site Inspection & Asbestos Testing ,GS23RCL0001,ITT,2022/08/19,3,2022/08/23,Peak Environmental Ltd.,West Kelowna,British Columbia,Canada,"$9,554.00",2022/08/30,
Ministry of Forests,Ministry of Forests,EN23LMN108 Dinner Rock FSR Works,EN23LMN108,ITT,2022/08/11,0,2022/08/29,Capilano Highway Services Company,West Vancouver,British Columbia,Canada,"$45,050.00",2022/08/29,
Ministry of Forests,Ministry of Forests,Haida Gwaii - Rennell Sound Dry Land Sort Quarry Work,EN23NAN807,ITT,2022/08/22,1,2022/08/26,Beachy Mechanical Ltd.,Port Clements,British Columbia,Canada,"$64,725.00",2022/08/29,
BC Timber Sales - Contracts,BC Timber Sales - Contracts,"EN23TEK410-FSR Inspections Merritt,Lillooet & 100 Mile House TSA",EN23TEK410,ITT,2022/08/17,1,2022/08/23,N/A,,,,$0.00,2022/08/29,
