Issued by Organization,Issued for Organization,Title,Tender No,Procurement Method,Issued Date,Amendments,Closing Date,Successful Vendor,Successful Vendor City,Province,Country,Award Total,Date Awarded
University of British Columbia,,Installation of Owner supplied 15KV Electrical Cables,2022010148,Request for Tenders (BPS),2022-12-06,,,ROKSTAD POWER,,,,193713.56,2022-12-06
University of British Columbia,,General Contractor for Walter C. Koerner Library and Life Sciences Centre Cooling Tower Replacement Project.,2022010239,Invitation to Tender (BPS),2022-12-13,,,One Degree HVAC Services Group,,,,456884,2022-12-13
University of British Columbia,,Dawson Lab Renovation - Kenny Building,2022010231,Request for Tenders (BPS),2022-12-01,,,SIMA Co.,170 - 422 Richards Street,,,114816,2022-11-25
University of British Columbia,,High Throughput In Vivo Imaging System,2022010104,Request for Proposal,2022-12-02,,,Soquelec,"5524 Rue Saint Patrick, Suite 405
Montreal, QC H4E 1A8",,,735250,2022-12-02
University of British Columbia,,Chemistry D - Chiller Upgrades,2022010116,Request for Proposal (BPS),2022-10-28,,,Trane Canada ULC,6190 Agronomy Road,,,367000,2022-10-28
University of British Columbia,,UBC Crescent Watermain Replacement,2022010173,Request for Tenders (BPS),2022-11-09,,,Rissling Services Ltd,"8026 Alexander Road, Delta BC ",,,727880,2022-11-09
University of British Columbia,,Prime Consultant & Consulting Team - Iona LOA Lab Project,2022010006,Request for Proposal (BPS),2022-11-08,,,Human Studio Architecture and Urban Design Ltd.,"200 - 68 East 2nd Ave., Vancouver, BC, V5T 1B1",,,382772.5,2022-11-08
University of British Columbia,,Addition of Two Condensing Heat Recovery Systems,2022010084,Request for Proposal,2022-11-28,,,Modern Niagara Vancouver,,,,1849113,2022-10-11
University of British Columbia,,GC for FNH Dawson Lab Reno,2022010231,Request for Tenders (BPS),2022-11-25,,,SIMA Co.,"170-422 Richards Street, Vancouver BC",,,114816.45,2022-11-25
University of British Columbia,,Electrical Service & Distribution,2022010144,Request for Tenders (BPS),2022-10-11,,,Harbourview Electric Ltd.,"#1 - 5707 Sidley St, Burnaby, BC",,,595750,2022-10-11
University of British Columbia,,"Prime Consultant for renovation of the following rooms: EOS 101, 105, 107 & SPPH 369",2022010156,Request for Proposal (BPS),2022-10-12,,,Kasian Architecture Interior Design + Planning,"Suite 1685 - 1500 West Georgia Street, Vancouver BC V6G 2Z6",,,102120,2022-10-12
University of British Columbia,,"Control Room, Office & Office Support Space Reno",2022010160,Request for Tenders (BPS),2022-11-18,,,Willow Spring Construction,,,,482661,2022-11-18
University of British Columbia,,Install new 600V distribution panel and new 120/208V transformer/distribution.,2022010131,Request for Tenders (BPS),2022-10-03,,,Steele Electric (2001) Ltd,"Unit 11 - 1833 Coast Meridian Road, Port Coquitlam BC V3C 6G5",,,637028,2022-10-03
University of British Columbia,,Compressor Equipment Upgrade - Supply Only -UBC Life Science Centre ,2022010168,Request for Proposal,2022-10-03,,,Industrial Compressor Service,"8-1520 Cliveden Avenue, Delta BC V3M 6J8",,,185845,2022-10-03
University of British Columbia,,DAWN Ambient MALS Device with Integrated DLS,2022010228,Notice of Intent (BPS),2022-12-23,,,Wyatt Technology Corporation,,,,230214.7,2022-12-15
University of the Fraser Valley,,Construction Manager for CEP-S Renovation ,#21-012,Request for Proposal,2022-11-09,,,Edifice Construction Inc.,,,,326803,2022-11-04
University of the Fraser Valley,,Construction Manager for CEPS Renovation ,BPM004611,Request for Proposal,2022-11-09,,,Edifice Construction Inc.,,,,326803,2022-11-04
Vancouver Coastal Health Authority,,E206-00 BCC VCC - CT SIM Replacement ,7189,Invitation to Tender,2022-11-10,,,Cennco Management And Consulting Ltd,,,,549391,2022-11-01
Vancouver Island Health Authority,,VGH Roofing Repair,2202047 RFT ROOFING REPAIR,Request for Tenders (BPS),2022-11-03,,,Top Line Roofing Ltd.,#101-725 Industrial Way,,,935545,2022-11-03
Vancouver Island Health Authority,,NRGH SPECT-CT Scanner Renovation - CM,2281012 RFP CM,Request for Proposal,2022-12-19,,,Western Medical Canada,"3134 Mutter Road, Mill Bay V0R 2P3",,,0,2022-12-19
Vancouver Island Health Authority,,Aberdeen Hospital Cooling Upgrades RFT - General Contractor,2204029 RFT - General Contractor,Request for Tenders (BPS),2022-12-07,,,FARMER CONSTRUCTION LTD.,360A Harbour Rd. Victoria BC,,,472536,2022-12-06
Vancouver Island Health Authority,,Priory Hospital Cooling Upgrades RFT - General Contractor,2209034 RFT - General Contractor,Request for Tenders (BPS),2022-12-08,,,Cascadia West Contracting Ltd.,4055 Ebony Place Victoria,,,679672,2022-12-08
Vancouver Island Health Authority,,NRGH 16 Beds Surge Space Renovation - RFT,2035-209 RFT GC,Request for Tenders (BPS),2022-11-17,,,Stuart Olson Construction Ltd.,"6900 Graybar Road Unit 2370 - Building 20000
Richmond BC  V6W 0A5",,,470130,2022-11-17
Vancouver Island Health Authority,,VGH Emergency Dept Lab Relocation,2102169 RFT,Request for Tenders (BPS),2022-11-22,,,Century Group Inc,590 Beaver Lake Rd. Victoria BC V9E 2J7,,,209700,2022-11-22
Vancouver Island Health Authority,,DPRC Cooling Retrofit - General Contractor,2281008 RFT General Contractor,Request for Tenders (BPS),2022-11-22,,,Archie Johnstone Plumbing and Heating Ltd,113 Gava Pl.  Nanaimo BC  V9T 0H9,,,449907,2022-11-22
Vancouver Island Health Authority,,Eagle Park Long term Care Cooling Addition - General & Mechanical Contractor,2282027 RFT GENERAL & MECHANICAL CONTRACTOR,Request for Tenders (BPS),2022-11-24,,,Archie Johnstone Plumbing and Heating Ltd,113 Gava Pl Nanaimo BC,,,181031,2022-11-24
Product Distribution Centre ,,Tracoe Pediatric Products,11386,Contract Award Notice,2022-12-20,0,2022-12-20,McArthur Medical Sales Inc.,Rockton,Ontario,Canada,14610,2022-12-20
Water Management Branch ,,Creation of Aerial Reduction Factors for British Columbia Regional Flood Frequency Analysis Portal,WMBDSP20221205,Direct Award,2022-12-05,,,RTI International,"3040 East Cornwallis Road
Research Triangle Park, NC, 27709, 
USA 
",,,39380,2022-12-19
Product Distribution Centre ,,Delca Nutritional Products,11391,Contract Award Notice,2022-12-20,0,2022-12-20,Delca Enterprises Ltd.,Not provided,Not provided,Canada,44923.8,2022-12-20
Product Distribution Centre ,,MIP Products,11401,Contract Award Notice,2022-12-20,0,2022-12-20,MIP Inc.,Not provided,Not provided,Canada,42441.04,2022-12-20
WorkSafeBC,,Snow Removal & Ice Melting Services for WorkSafeBC Kamloops Office ,244-2022,Request for Proposal,2022-10-17,,,Lyons Landscaping Ltd. ,"1271 Salish Road Kamloops, BC ",,,0,2022-11-01
WorkSafeBC,,Minor Works and Renovations for Accessible Home Modifications ,070-2021,Request for Proposal,2022-10-26,,,General contractor,,,,0,2022-10-07
WorkSafeBC,,Video Production Support Services,017-2022,Request for Proposal,2022-10-27,,,Pink Buffalo Films,68 Water Street Unit 500 Vancouver BC V6B 1A4,,,75000,2022-11-01
WorkSafeBC,,Hybrid Cinema Camera,282-2022,Invitation to Quote,2022-12-09,,,Lorne Lapham Sales and Rentals Inc,,,,11698,2022-12-05
