Issued by Organization,Issued for Organization,Title,Tender No,Procurement Method,Issued Date,Amendments,Closing Date,Successful Vendor,Successful Vendor City,Award Total,Date Awarded,Province / State,Country
Procurement Services Branch,Ministry of Transportation and Infrastructure,Wooden Fence Posts (Cranbrook),ITQ-006147,Itq,2020-02-13,0,2020-02-21,Princeton Wood Preservers Ltd.,Princeton,"$129,920.00",2020-02-25,British Columbia,Canada
Procurement Services Branch,Ministry of Environment and Climate Change Strategy,"Tent Pads, Boardwalk, Pedestrian Bridge (E.C. Manning Park)",ITQ-006119,Itq,2020-02-13,3,2020-02-18,First Peak Contracting Ltd.,Squamish,"$37,628.64",2020-02-25,British Columbia,Canada
Procurement Services Branch,Ministry of Transportation and Infrastructure,"Supply and Deliver: Rockfall Attenuator System (Delta, BC)",ITQ-006142,Itq,2020-02-19,4,2020-02-21,Trumer Schutzbauten Canada Ltd,Vancouver,"$396,446.40",2020-02-25,British Columbia,Canada
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",RFP - Maintenance of Whitetail Lake Recreation Site,PA20DRMN002,RFP,2020-02-27,0,2020-04-06,Bob and Barb Enterprises,Kimberley,$0.00,2020-02-25,British Columbia,Canada
Ministry of Environment and Climate Change Strategy,Ministry of Environment and Climate Change Strategy,"Taxonomic Analyses-Phytoplankton,Zooplankton,Periphyton",on-003440,RFP,2019-12-17,1,2020-01-24,RFP Cancelled,Victoria,$0.00,2020-02-26,British Columbia,Canada
Ministry of Environment and Climate Change Strategy,Ministry of Environment and Climate Change Strategy,Bishop Bay Dock Repairs,CP21SME002,RFP,2020-01-28,0,2020-02-19,Tadpole Towing Ltd.,Sointula,"$22,000.00",2020-02-26,British Columbia,Canada
Procurement Services Branch,"Ministry of Forests, Lands, Natural Resource Operations and R.D.",Supply and Delivery of Kitchen Equipment (Chilliwack),ITQ-006122,Itq,2020-01-31,0,2020-02-11,ABM Auctioneers Inc.,Vancouver,"$34,496.00",2020-02-26,British Columbia,Canada
Procurement Services Branch,Ministry of Transportation and Infrastructure,2 Traffic Video Cameras (Victoria),ITQ-006127,Itq,2020-02-03,0,2020-02-12,Miovision Technologies Inc.,Kitchener,"$13,662.88",2020-02-26,Ontario,Canada
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",Cranbrook Zone Fire Base – Utility Service Upgrade,ITT20JHQ032 REVISION,ITT,2020-02-11,2,2020-02-19,KD Electric,Victoria,"$170,000.00",2020-02-26,British Columbia,Canada
Procurement Services Branch,Ministry of Environment and Climate Change Strategy,RE-QUOTE - 16' Lund Boat (Williams Lake),ITQ-006107R,Itq,2020-02-12,0,2020-02-20,N R Motors Ltd,Prince George,"$8,473.92",2020-02-26,British Columbia,Canada
Procurement Services Branch,Ministry of Transportation and Infrastructure,Supply & Delivery of High Tensile Mesh (Delta),ITQ-006150,Itq,2020-02-14,1,2020-02-24,"Geobrugg North America, LLC",Algodones,"$94,617.60",2020-02-26,New Mexico,United States
Procurement Services Branch,Ministry of Health,Jira Software Upgrade 100 Users (from 25 users),ITQ-006144,Itq,2020-02-20,1,2020-02-24,Softchoice LP,Toronto,"$6,143.20",2020-02-26,Ontario,Canada
Procurement Services Branch,Ministry of Health,JIRA Software Renewal,ITQ-006146,Itq,2020-02-20,1,2020-02-24,Highway Three Solutions (2013) Ltd.,Victoria,"$6,319.95",2020-02-26,British Columbia,Canada
"Ministry of Energy, Mines, and Petroleum Resources","Ministry of Energy, Mines, and Petroleum Resources",Request for Proposals - Go Electric B.C. Public Charger Program,EMPRGECHARGE201903,RFP,2020-01-24,1,2020-02-07,Fraser Basin Council Society,Vancouver,"$5,000,000.00",2020-02-27,British Columbia,Canada
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",Lytton Fire Base – Electrical System installation,CP20WHQ0129,ITT,2020-02-07,3,2020-02-10,Next Gen Electrical Services Ltd.,Victoria,"$55,200.00",2020-02-27,British Columbia,Canada
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",Timber Pier Rehabilitation - Bridge N6-104,EN21474-002,ITT,2020-02-12,2,2020-02-20,Celtic Engineering Ltd.,Williams Lake,"$82,500.00",2020-02-27,British Columbia,Canada
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",Lytton Fire Base - HVAC system installation ,CP20WHQ0128 REV,ITT,2020-02-21,1,2020-02-25,Sunset West Mechanical,Victoria,"$94,879.00",2020-02-27,British Columbia,Canada
